=== 小牛靠近开机助手 一键诊断日志 ===
诊断开始: 2026-09-11 19:31:59
诊断时长: 60 秒

=== 当前配置 ===
靠近阈值: -65 dBm
离开阈值: -80 dBm
滞回区间: 15 dB
扫描间隔: 600 ms
连续达标: 1 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974
车辆状态: 已关机

=== 诊断数据（时间 | 类型 | 详情） ===
19:31:59.128 | DIAG | 开始诊断记录，时长 60 秒，文件: diagnostic_20260911_193159.txt
19:31:59.422 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:00.026 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:00.633 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:01.240 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:01.848 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:02.455 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:03.062 | RSSI | raw=-61 smooth=-59.0 near=-65 far=-80 consec=7 nearOk=Y farOk=N
19:32:03.669 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:04.275 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:04.882 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:05.497 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:06.104 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:06.712 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:07.317 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:07.924 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:08.532 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:09.142 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:09.751 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:10.358 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:10.963 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:11.578 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:12.183 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:12.791 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:13.396 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:14.001 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:14.603 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:15.217 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:15.823 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:16.428 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:17.034 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:17.646 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:18.253 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:18.859 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:19.462 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:20.066 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:20.671 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:21.281 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:21.887 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:22.489 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:23.092 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:23.705 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:24.313 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:24.919 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:25.526 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:26.144 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:26.753 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:27.357 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:27.962 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
