=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-14 00:00 ~ 2026-09-16 20:44
导出时间: 2026-09-16 20:44:20

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 800 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-15 ===
01:48:37.772 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:48:38.576 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:48:39.382 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:48:40.191 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:12.433 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:13.244 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:14.057 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:14.867 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:15.671 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:16.474 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:17.277 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:18.081 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:18.886 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:19.696 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:20.501 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:21.305 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:22.108 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:22.909 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:23.711 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:24.515 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:25.322 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:26.126 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:26.932 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:27.744 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:28.550 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:29.355 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:30.159 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:30.964 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:31.771 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:32.580 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:33.388 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:34.193 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:34.999 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:35.809 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:36.615 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:37.423 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:38.228 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:39.037 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:39.844 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:40.650 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:41.455 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:42.261 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:43.067 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:43.879 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:44.683 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:45.491 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:46.301 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:47.109 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:47.919 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:48.727 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:49.532 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:50.337 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:51.142 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:51.951 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:52.755 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:49:53.559 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
