=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-19 00:00 ~ 2026-09-19 23:59
导出时间: 2026-09-19 20:26:01

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 1100 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-19 ===
13:29:48.511 | RSSI | raw=-56 smooth=-56.0 near=-67 far=-79 consec=1 nearOk=Y farOk=N
13:29:48.516 | TRIGGER | 自动开机 | 已靠近(滤波-56/原始-56, 连续1次)，发送开机...
13:29:49.223 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:49.942 | RSSI | raw=-56 smooth=-56.0 near=-67 far=-79 consec=2 nearOk=Y farOk=N
13:29:50.652 | RSSI | raw=-60 smooth=-59.2 near=-67 far=-79 consec=3 nearOk=Y farOk=N
13:29:51.362 | RSSI | raw=-57 smooth=-57.4 near=-67 far=-79 consec=4 nearOk=Y farOk=N
13:29:52.067 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:52.774 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:53.480 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:54.188 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:54.900 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:55.610 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:56.315 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:57.023 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:57.728 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:58.433 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:59.141 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:29:59.850 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:00.558 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:01.265 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:01.993 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:02.704 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:03.412 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:04.128 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:04.849 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:05.554 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:06.264 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:06.971 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:07.680 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
